candidate_id,race_id,district_id,year,state,district,candidate_name,party,candidate_votes,total_votes,FEC_candidate_id,CAND_ICI,TTL_DISB
2018_H4AR02141,AR_2_2018,AR_2,2018,ARKANSAS,2,FRENCH HILL,Republican,132125,253453,H4AR02141,I,3536453.22
2018_H8AR02159,AR_2_2018,AR_2,2018,ARKANSAS,2,CLARKE TUCKER,Democrat,116135,253453,H8AR02159,C,2359234.62
2020_H0AR02206,AR_2_2020,AR_2,2020,ARKANSAS,2,JOYCE ELLIOTT,Democrat,148410,332503,H0AR02206,C,3540156.67
2020_H4AR02141,AR_2_2020,AR_2,2020,ARKANSAS,2,J FRENCH HILL,Republican,184093,332503,H4AR02141,I,3059235.64
2010_H0AR03030,AR_3_2010,AR_3,2010,ARKANSAS,3,DAVID WHITAKER,Democrat,56542,205123,H0AR03030,O,77266.01
2010_H0AR03055,AR_3_2010,AR_3,2010,ARKANSAS,3,STEVE WOMACK,Republican,148581,205123,H0AR03055,O,641115.26
GEN_000379,AR_3_2012,AR_3,2012,ARKANSAS,3,REBEKAH J KENNEDY,Other,39318,245660,,,
GEN_000378,AR_3_2012,AR_3,2012,ARKANSAS,3,DAVID PANGRAC,Other,19875,245660,,,
2012_H0AR03055,AR_3_2012,AR_3,2012,ARKANSAS,3,STEVE WOMACK,Republican,186467,245660,H0AR03055,I,602443.0
2014_H0AR03055,AR_3_2014,AR_3,2014,ARKANSAS,3,STEVE WOMACK,Republican,151630,190935,H0AR03055,I,574943.7
GEN_000721,AR_3_2014,AR_3,2014,ARKANSAS,3,GRANT BRAND,Other,39305,190935,,,
2016_H0AR03055,AR_3_2016,AR_3,2016,ARKANSAS,3,STEVE WOMACK,Republican,217192,280907,H0AR03055,I,568200.63
GEN_001022,AR_3_2016,AR_3,2016,ARKANSAS,3,STEVE ISAACSON,Other,63715,280907,,,
2018_H8AR03074,AR_3_2018,AR_3,2018,ARKANSAS,3,JOSH MAHONY,Democrat,74952,229708,H8AR03074,C,265214.3
2018_H0AR03055,AR_3_2018,AR_3,2018,ARKANSAS,3,STEVE WOMACK,Republican,148717,229708,H0AR03055,I,1218424.03
GEN_001378,AR_3_2018,AR_3,2018,ARKANSAS,3,MICHAEL J KALAGIAS,Other,5899,229708,,,
GEN_001637,AR_3_2020,AR_3,2020,ARKANSAS,3,MICHAEL J KALAGIAS,Other,12977,334262,,,
2020_H0AR03055,AR_3_2020,AR_3,2020,ARKANSAS,3,STEVE WOMACK,Republican,214960,334262,H0AR03055,I,924120.94
2020_H0AR03105,AR_3_2020,AR_3,2020,ARKANSAS,3,CELESTE WILLIAMS,Democrat,106325,334262,H0AR03105,C,356059.69
GEN_000004,AR_4_2010,AR_4,2010,ARKANSAS,4,MIKE ROSS,Democrat,102479,178134,,,
GEN_000003,AR_4_2010,AR_4,2010,ARKANSAS,4,JOSH DRAKE,Other,4129,178134,,,
2010_H0AR04079,AR_4_2010,AR_4,2010,ARKANSAS,4,BETH ANNE RANKIN,Republican,71526,178134,H0AR04079,C,595854.94
GEN_000380,AR_4_2012,AR_4,2012,ARKANSAS,4,BOBBY TULLIS,Other,4984,258953,,,
2012_H2AR04109,AR_4_2012,AR_4,2012,ARKANSAS,4,GENE JEFFRESS,Democrat,95013,258953,H2AR04109,O,98039.53
2012_H2AR04083,AR_4_2012,AR_4,2012,ARKANSAS,4,TOM COTTON,Republican,154149,258953,H2AR04083,O,2094866.54
GEN_000381,AR_4_2012,AR_4,2012,ARKANSAS,4,J JOSHUA DRAKE,Other,4807,258953,,,
2014_H4AR04048,AR_4_2014,AR_4,2014,ARKANSAS,4,BRUCE WESTERMAN,Republican,110789,206131,H4AR04048,O,955239.74
2014_H4AR04063,AR_4_2014,AR_4,2014,ARKANSAS,4,JAMES LEE WITT,Democrat,87742,206131,H4AR04063,O,1189666.78
GEN_000722,AR_4_2014,AR_4,2014,ARKANSAS,4,KEN HAMILTON,Other,7598,206131,,,
2016_H4AR04048,AR_4_2016,AR_4,2016,ARKANSAS,4,BRUCE WESTERMAN,Republican,182885,244159,H4AR04048,I,464458.86
GEN_001023,AR_4_2016,AR_4,2016,ARKANSAS,4,KERRY HICKS,Other,61274,244159,,,
GEN_001379,AR_4_2018,AR_4,2018,ARKANSAS,4,TOM CANADA,Other,3952,204892,,,
2018_H4AR04048,AR_4_2018,AR_4,2018,ARKANSAS,4,BRUCE WESTERMAN,Republican,136740,204892,H4AR04048,I,1297141.11
2018_H8AR04130,AR_4_2018,AR_4,2018,ARKANSAS,4,HAYDEN CATHERINE SHAMEL,Democrat,63984,204892,H8AR04130,C,155049.94
GEN_001638,AR_4_2020,AR_4,2020,ARKANSAS,4,FRANK GILBERT,Other,7668,275035,,,
2020_H0AR04087,AR_4_2020,AR_4,2020,ARKANSAS,4,WILLIAM H HANSON,Democrat,75750,275035,H0AR04087,C,111682.66
2020_H4AR04048,AR_4_2020,AR_4,2020,ARKANSAS,4,BRUCE WESTERMAN,Republican,191617,275035,H4AR04048,I,1123311.93
2010_H8AZ01104,AZ_1_2010,AZ_1,2010,ARIZONA,1,ANN KIRKPATRICK,Democrat,99233,226918,H8AZ01104,I,1998802.09
GEN_000005,AZ_1_2010,AZ_1,2010,ARIZONA,1,NICOLE PATTI,Other,14869,226918,,,
GEN_000006,AZ_1_2010,AZ_1,2010,ARIZONA,1,PAUL GOSAR,Republican,112816,226918,,,
2012_H8AZ01104,AZ_1_2012,AZ_1,2012,ARIZONA,1,ANN KIRKPATRICK,Democrat,122774,251595,H8AZ01104,C,2369726.45
2012_H0AZ08056,AZ_1_2012,AZ_1,2012,ARIZONA,1,JONATHAN PATON,Republican,113594,251595,H0AZ08056,C,1489294.36
GEN_000382,AZ_1_2012,AZ_1,2012,ARIZONA,1,KIM ALLEN,Other,15227,251595,,,
2014_H0AZ01325,AZ_1_2014,AZ_1,2014,ARIZONA,1,ANDY TOBIN,Republican,87723,185114,H0AZ01325,C,1377528.21
2014_H8AZ01104,AZ_1_2014,AZ_1,2014,ARIZONA,1,ANN KIRKPATRICK,Democrat,97391,185114,H8AZ01104,I,3340584.56
GEN_001024,AZ_1_2016,AZ_1,2016,ARIZONA,1,RAY PARRISH,Other,16746,280710,,,
2016_H2AZ04127,AZ_1_2016,AZ_1,2016,ARIZONA,1,PAUL BABEU,Republican,121745,280710,H2AZ04127,O,1293719.68
2016_H6AZ01199,AZ_1_2016,AZ_1,2016,ARIZONA,1,TOM O'HALLERAN,Democrat,142219,280710,H6AZ01199,O,1588705.07
2018_H2AZ09035,AZ_1_2018,AZ_1,2018,ARIZONA,1,WENDY ROGERS,Republican,122784,266089,H2AZ09035,C,1427124.4
2018_H6AZ01199,AZ_1_2018,AZ_1,2018,ARIZONA,1,TOM O'HALLERAN,Democrat,143240,266089,H6AZ01199,I,2760247.97
2020_H6AZ01199,AZ_1_2020,AZ_1,2020,ARIZONA,1,TOM O'HALLERAN,Democrat,188469,365178,H6AZ01199,I,3359686.85
2020_H8AZ01237,AZ_1_2020,AZ_1,2020,ARIZONA,1,TIFFANY SHEDD,Republican,176709,365178,H8AZ01237,C,1655234.73
