race_id,district_id,year,total_votes,winner_name,winner_party,winner_CAND_ICI,runner_up_name,runner_up_party,runner_up_CAND_ICI,margin_of_victory,spending_winner,spending_runner_up,pvi,NHE
CO_2_2012,CO_2,2012,421580,JARED POLIS,Democrat,I,KEVIN LUNDBERG,Republican,C,17.11,1506673.17,282160.66,-8.0,-1.1
CO_2_2014,CO_2,2014,345945,JARED POLIS,Democrat,I,GEORGE LEING,Republican,C,13.49,1207969.0,363465.97,-8.0,5.7
CO_2_2016,CO_2,2016,457312,JARED POLIS,Democrat,I,NICHOLAS MORSE,Republican,C,19.72,1331751.71,167116.24,-8.0,1.1
CO_2_2018,CO_2,2018,430614,JOE NEGUSE,Democrat,O,PETER YU,Republican,O,26.64,1064033.62,67708.0,-9.0,-8.6
CO_2_2020,CO_2,2020,515663,JOE NEGUSE,Democrat,I,CHARLIE WINN,Republican,C,26.06,690025.28,100537.58,-9.0,-3.1
CO_3_2010,CO_3,2010,257999,SCOTT R TIPTIN,Republican,C,JOHN T SALAZAR,Democrat,I,4.34,1207831.54,2474562.48,5.0,6.8
CO_3_2012,CO_3,2012,347247,SCOTT R TIPTON,Republican,I,SAL PACE,Democrat,C,12.29,2225170.66,1953038.26,4.0,-1.1
CO_3_2014,CO_3,2014,281141,SCOTT R TIPTON,Republican,I,ABEL J TAPIA,Democrat,C,22.28,1268958.94,294804.67,5.0,5.7
CO_3_2016,CO_3,2016,374037,SCOTT R TIPTON,Republican,I,GAIL SCHWARTZ,Democrat,C,14.25,2042118.59,1685037.24,5.0,1.1
CO_3_2018,CO_3,2018,336189,SCOTT R TIPTON,Republican,I,DIANE MITSCH BUSH,Democrat,C,7.97,1669621.45,1905825.69,6.0,-8.6
CO_3_2020,CO_3,2020,429319,LAUREN BOEBERT,Republican,I,DIANE E MITSCH BUSH,Democrat,C,6.18,2632675.56,5040013.78,6.0,-3.1
CO_4_2010,CO_4,2010,264181,CORY GARDNER,Republican,C,BETSY MARKEY,Democrat,I,11.12,2407602.45,3612695.65,6.0,6.8
CO_4_2012,CO_4,2012,342336,CORY GARDNER,Republican,I,BRANDON SHAFFER,Democrat,C,21.68,1873982.8,895692.51,12.0,-1.1
CO_4_2014,CO_4,2014,286507,KEN BUCK,Republican,O,VIC MEYERS,Democrat,O,35.45,1268048.88,74379.49,11.0,5.7
CO_4_2016,CO_4,2016,390633,KEN BUCK,Republican,I,BOB SEAY,Democrat,C,31.89,759701.8,73644.44,11.0,1.1
CO_4_2018,CO_4,2018,369582,KEN BUCK,Republican,I,KAREN MCCORMICK,Democrat,C,21.24,665221.16,952913.55,13.0,-8.6
CO_4_2020,CO_4,2020,475107,KEN BUCK,Republican,I,IKE MCCORKLE,Democrat,C,23.5,540091.76,385447.36,13.0,-3.1
CO_5_2010,CO_5,2010,232434,DOUG LAMBORN,Republican,I,KEVIN BRADLEY,Democrat,,36.48,230382.68,,14.0,6.8
CO_5_2012,CO_5,2012,307231,DOUG LAMBORN,Republican,I,DAVE ANDERSON,Other,C,47.63,824502.31,239593.47,15.0,-1.1
CO_5_2014,CO_5,2014,262855,DOUG LAMBORN,Republican,I,IRV HALTER,Democrat,C,19.6,574480.8,833960.84,13.0,5.7
CO_5_2016,CO_5,2016,361993,DOUG LAMBORN,Republican,I,MISTY PLOWRIGHT,Democrat,C,31.43,340108.97,13779.54,13.0,1.1
CO_5_2018,CO_5,2018,322645,DOUG LAMBORN,Republican,I,STEPHANY ROSE SPAULDING,Democrat,C,21.37,780249.79,327139.32,14.0,-8.6
CO_5_2020,CO_5,2020,432407,DOUG LAMBORN,Republican,I,JILLIAN FREELAND,Democrat,C,20.22,390060.58,181293.51,14.0,-3.1
CO_6_2010,CO_6,2010,330943,MIKE COFFMAN,Republican,I,JOHN FLERLAGE,Democrat,C,34.22,655958.12,152780.23,8.0,6.8
CO_6_2012,CO_6,2012,342914,MIKE COFFMAN,Republican,I,JOE MIKLOSI,Democrat,C,2.04,3844986.68,1703888.85,1.0,-1.1
CO_6_2014,CO_6,2014,276440,MIKE COFFMAN,Republican,I,ANDREW ROMANOFF,Democrat,C,8.91,4711131.67,5145369.66,-1.0,5.7
CO_6_2016,CO_6,2016,376417,MIKE COFFMAN,Republican,I,MORGAN CARROLL,Democrat,C,8.3,3574756.56,3132175.95,-1.0,1.1
CO_6_2018,CO_6,2018,346817,JASON CROW,Democrat,C,MIKE COFFMAN,Republican,I,11.23,5667236.29,3823933.07,-2.0,-8.6
CO_6_2020,CO_6,2020,438473,JASON CROW,Democrat,I,STEVE HOUSE,Republican,C,17.13,2973214.66,1253894.25,-2.0,-3.1
CO_7_2010,CO_7,2010,210810,ED PERLMUTTER,Democrat,I,RYAN FRAZIER,Republican,C,11.69,2943592.74,1771942.8,-4.0,6.8
CO_7_2012,CO_7,2012,340970,ED PERLMUTTER,Democrat,I,JOE COORS,Republican,C,12.73,2988390.89,4832074.85,-3.0,-1.1
CO_7_2014,CO_7,2014,269143,ED PERLMUTTER,Democrat,I,DON YTTERBERG,Republican,C,10.15,1891891.94,298112.3,-5.0,5.7
CO_7_2016,CO_7,2016,362010,ED PERLMUTTER,Democrat,I,GEORGE ATHANASOPOULOS,Republican,C,15.38,1738254.37,51319.76,-5.0,1.1
CO_7_2018,CO_7,2018,338006,ED PERLMUTTER,Democrat,I,MARK BARRINGTON,Republican,C,25.01,1462835.47,54976.96,-6.0,-8.6
CO_7_2020,CO_7,2020,423691,ED PERLMUTTER,Democrat,I,"CHARLES ""CASPER"" STOCKHAM",Republican,C,21.53,1345446.88,147959.35,-6.0,-3.1
CT_1_2010,CT_1,2010,226038,JOHN B LARSON,Democrat,I,ANN BRICKLEY,Republican,C,24.05,2445769.76,313854.51,-13.0,6.8
CT_1_2012,CT_1,2012,297061,JOHN B LARSON,Democrat,I,JOHN HENRY DECKER,Republican,C,41.96,2232557.75,73150.1,-12.0,-1.1
CT_1_2014,CT_1,2014,217881,JOHN B LARSON,Democrat,I,MATTHEW M COREY,Republican,C,26.26,1659154.41,32290.76,-13.0,5.7
CT_1_2016,CT_1,2016,312925,JOHN B LARSON,Democrat,I,MATHHEW M COREY,Republican,C,30.36,1615369.72,21169.79,-13.0,1.1
CT_1_2018,CT_1,2018,274140,JOHN B LARSON,Democrat,I,JENNIFER T NYE,Republican,,28.84,1696552.75,,-12.0,-8.6
CT_1_2020,CT_1,2020,349237,JOHN B LARSON,Democrat,I,MARY FAY,Republican,C,28.79,1336604.38,25118.18,-12.0,-3.1
CT_2_2010,CT_2,2010,246809,JOE CORTNEY,Democrat,I,JANET PECKINPAUGH,Republican,C,21.1,2171903.82,269667.73,-6.0,6.8
CT_2_2012,CT_2,2012,298960,JOE COURTNEY,Democrat,I,PAUL M FORMICA,Republican,C,39.0,1449934.62,123494.27,-6.0,-1.1
CT_2_2014,CT_2,2014,227936,JOE COURTNEY,Democrat,I,LORI HOPKINS-CAVANAGH,Republican,C,26.81,1127169.97,62120.54,-5.0,5.7
CT_2_2016,CT_2,2016,330257,JOE COURTNEY,Democrat,I,DARIA NOVAK,Republican,C,29.57,1154847.28,50797.88,-5.0,1.1
CT_2_2018,CT_2,2018,289114,JOE COURTNEY,Democrat,I,DANNY POSTEMSKI JR,Republican,C,26.72,1028800.15,0.0,-3.0,-8.6
CT_2_2020,CT_2,2020,367347,JOE COURTNEY,Democrat,I,JUSTIN ANDERSON,Republican,C,21.17,1002505.23,78767.12,-3.0,-3.1
CT_3_2010,CT_3,2010,220661,ROSA L DELAURO,Democrat,I,JERRY LABRIOLA JR,Republican,C,31.48,1373230.35,186118.24,-9.0,6.8
CT_3_2012,CT_3,2012,291301,ROSA L DELAURO,Democrat,I,WAYNE WINSLEY,Republican,C,49.38,1169821.23,60750.93,-9.0,-1.1
CT_3_2014,CT_3,2014,209939,ROSA L DELAURO,Democrat,I,JAMES E BROWN,Republican,C,33.83,1236492.14,6836.56,-11.0,5.7
CT_3_2016,CT_3,2016,309379,ROSA L DELAURO,Democrat,I,ANGEL CADENA,Republican,,38.07,1150878.91,,-11.0,1.1
CT_3_2018,CT_3,2018,270239,ROSA L DELAURO,Democrat,I,ANGEL CADENA,Republican,,29.2,1303898.64,,-9.0,-8.6
CT_3_2020,CT_3,2020,346103,ROSA L DELAURO,Democrat,I,MARGARET STREICKER,Republican,C,18.97,1813321.99,2012375.17,-9.0,-3.1
CT_4_2010,CT_4,2010,217391,JAMES A HIMES,Democrat,I,DAN DEBICELLA,Republican,C,6.13,3698701.84,1961841.48,-5.0,6.8
CT_4_2012,CT_4,2012,293432,JAMES A HIMES,Democrat,I,STEVE OBSITNIK,Republican,C,19.91,2289994.06,1720107.0,-5.0,-1.1
CT_4_2014,CT_4,2014,198800,JAMES A HIMES,Democrat,I,DAN DEBICELLA,Republican,C,7.52,2371454.0,1273919.55,-5.0,5.7
CT_4_2016,CT_4,2016,313540,JAMES A HIMES,Democrat,I,JOHN SHABAN,Republican,C,19.8,1144648.03,161189.52,-5.0,1.1
CT_4_2018,CT_4,2018,275651,JIM HIMES,Democrat,I,HARRY ARORA,Republican,C,22.42,1706354.06,754776.65,-7.0,-8.6
CT_4_2020,CT_4,2020,360716,JAMES A HIMES,Democrat,I,JONATHAN RIDDLE,Republican,C,26.01,2199740.31,17385.2,-7.0,-3.1
CT_5_2010,CT_5,2010,227303,CHRISTOPHER S MURPHY,Democrat,I,SAM S F CALIGIURI,Republican,C,8.13,3079678.37,1309199.4,-2.0,6.8
CT_5_2012,CT_5,2012,284757,ELIZABETH ESTY,Democrat,O,ANDREW RORABACK,Republican,O,2.62,3285559.7,1574453.91,-2.0,-1.1
CT_5_2014,CT_5,2014,213301,ELIZABETH H ESTY,Democrat,I,MARK GREENBERG,Republican,C,7.41,2946026.22,2048746.76,-3.0,5.7
CT_5_2016,CT_5,2016,309082,ELIZABETH H ETSY,Democrat,I,CLAY COPE,Republican,C,16.0,1447329.34,98931.97,-3.0,1.1
CT_5_2018,CT_5,2018,270664,JAHANA HAYES,Democrat,O,MANNY SANTOS,Republican,O,11.75,1306411.7,75953.33,-2.0,-8.6
CT_5_2020,CT_5,2020,349524,JAHANA HAYES,Democrat,I,DAVID X SULLIVAN,Republican,C,11.59,1605007.59,430170.44,-2.0,-3.1
DE_0_2010,DE_0,2010,305636,JOHN C CARNEY,Democrat,O,GLEN URQUHART,Republican,O,15.74,2115140.17,1364256.86,-7.0,6.8
DE_0_2012,DE_0,2012,388059,JOHN C CARNEY,Democrat,I,THOMAS H KOVACH,Republican,C,30.97,1016701.58,212005.76,-7.0,-1.1
DE_0_2014,DE_0,2014,231617,JOHN C CARNEY JR,Democrat,I,ROSE IZZO,Republican,C,22.5,1146816.96,21925.97,-8.0,5.7
DE_0_2016,DE_0,2016,420617,LISA BLUNT ROCHESTER,Democrat,O,HANS REIGLE,Republican,O,14.56,1451279.77,221665.5,-8.0,1.1
DE_0_2018,DE_0,2018,352737,LISA BLUNT ROCHESTER,Democrat,I,SCOTT WALKER,Republican,,28.91,1196085.62,,-6.0,-8.6
DE_0_2020,DE_0,2020,488270,LISA BLUNT ROCHESTER,Democrat,I,LEE MURPHY,Republican,C,17.41,1327603.95,131862.44,-6.0,-3.1
FL_10_2010,FL_10,2010,209256,C W BILL YOUNG,Republican,I,CHARLIE JUSTICE,Democrat,C,31.84,965474.94,320532.34,1.0,6.8
FL_10_2012,FL_10,2012,318269,DANIEL WEBSTER,Republican,I,VAL B DEMINGS,Democrat,C,3.48,1498872.06,1955180.29,7.0,-1.1
FL_10_2014,FL_10,2014,232574,DANIEL WEBSTER,Republican,I,MICHAEL MCKENNA,Democrat,C,23.09,941146.82,33623.3,7.0,5.7
FL_10_2016,FL_10,2016,305989,VAL DEMINGS,Democrat,I,THUY LOWE,Republican,C,29.74,,50734.93,-9.0,1.1
FL_10_2020,FL_10,2020,376397,VAL BUTLER DEMINGS,Democrat,I,VENNIA FRANCOIS,Republican,C,27.24,1198213.25,333214.95,-11.0,-3.1
FL_11_2010,FL_11,2010,153145,KATHY CASTOR,Democrat,I,MIKE PRENDERGAST,Republican,C,19.27,680010.98,501047.01,-11.0,6.8
FL_11_2012,FL_11,2012,338663,RICHARD B NUGENT,Republican,I,H DAVID WERDER,Democrat,,28.95,560894.0,,8.0,-1.1
FL_11_2014,FL_11,2014,272294,RICHARD B NUGENT,Republican,I,DAVE KOLLER,Democrat,C,33.32,317246.38,67136.51,8.0,5.7
FL_11_2016,FL_11,2016,394719,DANIEL WEBSTER,Republican,,DAVE KOLLER,Democrat,O,33.77,,57243.04,11.0,1.1
FL_11_2018,FL_11,2018,367506,DANIEL WEBSTER,Republican,I,DANA COTTRELL,Democrat,C,30.3,524574.92,87364.23,15.0,-8.6
FL_11_2020,FL_11,2020,475073,DANIEL WEBSTER,Republican,I,DANA MARIE COTTRELL,Democrat,C,33.44,588603.55,62379.69,15.0,-3.1
FL_12_2010,FL_12,2010,213330,DENNIS A ROSS,Republican,O,LORI EDWARDS,Democrat,O,7.0,1156468.58,655719.53,6.0,6.8
FL_12_2012,FL_12,2012,330167,GUS M BILIRAKIS,Republican,I,JONATHAN MICHAEL SNOW,Democrat,C,30.54,919050.25,18606.54,6.0,-1.1
FL_12_2016,FL_12,2016,369669,GUS M BILIRAKIS,Republican,I,ROBERT MATTHEW TAGER,Democrat,C,37.18,1751756.14,44032.0,6.0,1.1
FL_12_2018,FL_12,2018,334918,GUS MICHAEL BILIRAKIS,Republican,I,CHRIS HUNTER,Democrat,C,18.43,2097991.8,769589.7,8.0,-8.6
FL_12_2020,FL_12,2020,453135,GUS M BILIRAKIS,Republican,I,KIMBERLY WALKER,Democrat,C,25.76,1553942.14,33543.84,8.0,-3.1
FL_13_2010,FL_13,2010,266934,VERN BUCHANAN,Republican,I,JAMES T GOLDEN,Democrat,C,37.72,1224895.05,129892.21,6.0,6.8
FL_13_2012,FL_13,2012,329347,C W BILL YOUNG,Republican,I,JESSICA EHRLICH,Democrat,C,15.14,1047105.4,530198.61,1.0,-1.1
FL_13_2014,FL_13,2014,223576,DAVID W JOLLY,Republican,I,LUCAS OVERBY,Other,C,50.48,1835874.26,57943.18,1.0,5.7
FL_13_2016,FL_13,2016,355842,CHARLIE CRIST,Democrat,C,DAVID W JOLLY,Republican,I,3.81,1983386.46,2230282.46,-3.0,1.1
FL_13_2018,FL_13,2018,316971,CHARLIE CRIST,Democrat,I,GEORGE BUCK,Republican,C,15.29,1780937.57,42519.44,-2.0,-8.6
FL_13_2020,FL_13,2020,406125,CHARLIE CRIST,Democrat,I,ANNA PAULINA LUNA,Republican,C,6.08,4059147.92,3286006.7,-2.0,-3.1
FL_14_2010,FL_14,2010,274691,CONNIE MACK,Republican,I,JAMES LLOYD ROACH,Democrat,C,41.43,1055865.11,63761.35,11.0,6.8
FL_14_2012,FL_14,2012,280601,KATHY CASTOR,Democrat,I,"EVELIO ""E J"" OTERO",Republican,C,40.5,801763.55,179061.56,-11.0,-1.1
FL_14_2016,FL_14,2016,316877,KATHY CASTOR,Democrat,I,CHRISTINE QUINN,Republican,C,23.57,847945.54,33654.68,-6.0,1.1
FL_14_2020,FL_14,2020,372136,KATHY CASTOR,Democrat,I,CHRISTINE Y QUINN,Republican,C,20.52,1209194.16,241291.87,-7.0,-3.1
FL_15_2010,FL_15,2010,242674,BILL POSEY,Republican,I,SHANNON ROBERTS,Democrat,C,29.46,1027998.78,30270.73,6.0,6.8
FL_15_2014,FL_15,2014,213582,DENNIS A ROSS,Republican,I,ALAN M COHN,Democrat,C,20.56,1465843.12,429906.11,6.0,5.7
FL_15_2016,FL_15,2016,318474,DENNIS A ROSS,Republican,I,JIM LANGE,Democrat,C,14.92,1199262.94,37571.54,6.0,1.1
FL_15_2018,FL_15,2018,285532,ROSS SPANO,Republican,O,KRISTEN CARLSON,Democrat,O,6.04,934198.85,2101885.58,6.0,-8.6
FL_15_2020,FL_15,2020,390671,SCOTT FRANKLIN,Republican,O,ALAN COHN,Democrat,O,10.77,1639816.94,2320645.03,6.0,-3.1
FL_16_2010,FL_16,2010,242763,THOMAS J ROONEY,Republican,I,JIM HORN,Democrat,C,33.76,1013780.39,86586.52,5.0,6.8
FL_16_2012,FL_16,2012,349076,VERN BUCHANAN,Republican,I,KEITH FITZGERALD,Democrat,C,7.22,3561677.07,1447610.84,5.0,-1.1
FL_16_2014,FL_16,2014,274829,VERN BUCHANAN,Republican,I,HENRY LAWRENCE,Democrat,C,23.16,1101628.17,60744.01,5.0,5.7
FL_16_2016,FL_16,2016,385916,VERN BUCHANAN,Republican,I,JAN SCHNEIDER,Democrat,C,19.54,918163.59,55021.43,6.0,1.1
FL_16_2018,FL_16,2018,361946,VERN BUCHANAN,Republican,I,DAVID SHAPIRO,Democrat,C,9.12,4379661.84,2616315.52,7.0,-8.6
FL_16_2020,FL_16,2020,484684,VERN BUCHANAN,Republican,I,MARGARET GOOD,Democrat,,11.0,3649491.41,,7.0,-3.1
FL_17_2010,FL_17,2010,123370,FREDERICA S WILSON,Democrat,O,RODERICK D VEREEN,Other,O,72.43,401644.69,108785.69,-34.0,6.8
FL_17_2012,FL_17,2012,282266,THOMAS J ROONEY,Republican,I,WILLIAM BRONSON,Democrat,C,17.26,1092225.21,22852.0,10.0,-1.1
FL_17_2014,FL_17,2014,223756,THOMAS J ROONEY,Republican,I,WILL BRONSON,Democrat,C,26.47,669303.6,24607.37,10.0,5.7
FL_17_2016,FL_17,2016,338675,THOMAS J ROONEY,Republican,I,APRIL FREEMAN,Democrat,C,27.57,918536.35,149553.82,10.0,1.1
FL_17_2018,FL_17,2018,310520,GREG STEUBE,Republican,I,ALLEN ELLISON,Democrat,C,24.52,694037.76,4189.53,13.0,-8.6
FL_17_2020,FL_17,2020,412397,W GREGORY STEUBE,Republican,I,ALLEN ELLISON,Democrat,C,30.56,629762.91,78767.35,13.0,-3.1
FL_18_2010,FL_18,2010,148595,ILEANA ROS-LEHTINEN,Republican,I,ROLANDO A BANCIELLA,Democrat,C,37.77,1103463.35,10742.0,3.0,6.8
FL_18_2012,FL_18,2012,330665,PATRICK MURPHY,Democrat,C,ALLEN B WEST,Republican,I,0.58,4480428.11,18471216.08,1.0,-1.1
FL_18_2014,FL_18,2014,253374,PATRICK MURPHY,Democrat,I,CARL J DOMINO,Republican,C,19.57,4924767.66,1498449.51,3.0,5.7
FL_18_2016,FL_18,2016,375918,BRIAN MAST,Republican,O,RANDY PERKINS,Democrat,O,10.53,2872938.76,10862988.41,3.0,1.1
FL_18_2018,FL_18,2018,342359,BRIAN MAST,Republican,I,LAUREN BAER,Democrat,C,8.6,6047403.46,4599912.62,5.0,-8.6
FL_18_2020,FL_18,2020,449720,BRIAN J MAST,Republican,I,PAM KEITH,Democrat,C,14.81,5369799.76,1670342.93,5.0,-3.1
FL_19_2010,FL_19,2010,211059,THEODORE E DEUTCH,Democrat,I,JOE BUDD,Republican,C,25.28,1874219.78,86440.21,-15.0,6.8
FL_19_2012,FL_19,2012,306216,TREY RADEL,Republican,,JIM ROACH,Democrat,O,26.15,,85868.77,11.0,-1.1
FL_19_2014,FL_19,2014,246861,CURT CLAWSON,Republican,I,APRIL FREEMAN,Democrat,C,31.81,4824230.0,231797.67,11.0,5.7
FL_19_2016,FL_19,2016,363166,FRANCIS ROONEY,Republican,O,ROBERT M NEELD,Democrat,O,31.78,4836704.32,15122.46,12.0,1.1
FL_19_2018,FL_19,2018,339607,FRANCIS ROONEY,Republican,I,DAVID HOLDEN,Democrat,C,24.55,927377.0,557122.71,13.0,-8.6
FL_19_2020,FL_19,2020,444589,BYRON DONALDS,Republican,,CINDY LYN BANYAI,Democrat,O,22.56,,203430.45,13.0,-3.1
FL_1_2010,FL_1,2010,213526,JEFF MILLER,Republican,I,JOE CANTRELL,Other,C,69.11,556852.61,11178.0,21.0,6.8
FL_1_2012,FL_1,2012,342594,JEFF MILLER,Republican,I,JIM BRYAN,Democrat,,42.46,684274.71,,21.0,-1.1
FL_1_2014,FL_1,2014,235343,JEFF MILLER,Republican,I,JIM BRYAN,Democrat,C,46.79,543973.79,15904.0,21.0,5.7
FL_1_2016,FL_1,2016,369186,MATT GAETZ,Republican,O,STEVEN SPECHT,Democrat,O,38.2,1113704.51,54600.77,22.0,1.1
FL_1_2018,FL_1,2018,322388,MATT GAETZ,Republican,I,JENNIFER M ZIMMERMAN,Democrat,C,34.12,1264156.93,65473.96,22.0,-8.6
FL_1_2020,FL_1,2020,438562,MATT GAETZ,Republican,I,PHIL EHR,Democrat,,30.6,4602509.17,,22.0,-3.1
FL_20_2010,FL_20,2010,167570,DEBBIE WASSERMAN SCHULTZ,Democrat,I,KAREN HARRINGTON,Republican,C,22.05,2018503.65,374118.42,-13.0,6.8
FL_20_2012,FL_20,2012,244285,ALCEE L HASTINGS,Democrat,I,RANDALL TERRY,Other,C,75.8,558061.51,158403.04,-28.0,-1.1
FL_20_2014,FL_20,2014,157466,ALCEE L HASTINGS,Democrat,I,JAY BONNER,Republican,C,63.21,811994.66,25608.81,-28.0,5.7
FL_20_2016,FL_20,2016,277560,ALCEE L HASTINGS,Democrat,I,GARY STEIN,Republican,,60.62,843089.12,,-30.0,1.1
FL_20_2020,FL_20,2020,322409,ALCEE L HASTINGS,Democrat,I,GREG MUSSELWHITE,Republican,C,57.35,545668.06,27537.64,-31.0,-3.1
FL_21_2012,FL_21,2012,284400,THEODORE E DEUTCH,Democrat,I,"W MICHAEL ""MIKE"" TROUT",Other,,64.52,921398.24,,-12.0,-1.1
FL_21_2016,FL_21,2016,335861,LOIS FRANKEL,Democrat,I,PAUL SPAIN,Republican,C,27.56,904770.06,49825.33,-10.0,1.1
FL_21_2020,FL_21,2020,403093,LOIS FRANKEL,Democrat,I,LAURA LOOMER,Republican,C,19.92,1330992.97,2256020.15,-9.0,-3.1
FL_22_2010,FL_22,2010,218694,ALLEN WEST,Republican,C,RON KLEIN,Democrat,I,8.73,6519713.09,5319671.22,-1.0,6.8
FL_22_2012,FL_22,2012,313071,LOIS FRANKEL,Democrat,I,ADAM HASNER,Republican,C,9.25,3490565.22,3368776.59,-5.0,-1.1
FL_22_2014,FL_22,2014,216096,LOIS FRANKEL,Democrat,I,PAUL SPAIN,Republican,C,16.07,1354369.48,145296.58,-4.0,5.7
FL_22_2016,FL_22,2016,337850,THEODORE E DEUTCH,Democrat,I,ANDREA LEIGH MCGEE,Republican,C,17.87,1715240.17,24648.18,-5.0,1.1
FL_22_2018,FL_22,2018,297683,TED DEUTCH,Democrat,I,NICOLAS KIMAZ,Republican,C,24.05,1274589.63,202834.66,-6.0,-8.6
FL_22_2020,FL_22,2020,402317,THEODORE E DEUTCH,Democrat,I,"JAMES ""JIM"" PRUDEN",Republican,C,17.2,1283607.07,278998.83,-6.0,-3.1
FL_23_2010,FL_23,2010,126870,ALCEE L HASTINGS,Democrat,I,BERNARD SANSARICQ,Republican,C,57.75,778998.09,106142.42,-28.0,6.8
FL_23_2012,FL_23,2012,275430,DEBBIE WASSERMAN SCHULTZ,Democrat,I,KAREN HARRINGTON,Republican,C,27.63,3520041.53,1884197.57,-10.0,-1.1
FL_23_2014,FL_23,2014,164788,DEBBIE WASSERMAN SCHULTZ,Democrat,I,"JOSEPH ""JOE"" KAUFMAN",Republican,C,25.34,2753276.21,568148.28,-11.0,5.7
FL_23_2016,FL_23,2016,323120,DEBBIE WASSERMAN SCHULTZ,Democrat,I,"JOSEPH ""JOE"" KAUFMAN",Republican,C,16.22,4242401.09,123263.44,-9.0,1.1
FL_23_2018,FL_23,2018,276366,DEBBIE WASSERMAN SCHULTZ,Democrat,I,"JOSEPH ""JOE"" KAUFMAN",Republican,C,22.49,1986789.07,476747.12,-11.0,-8.6
FL_23_2020,FL_23,2020,380196,DEBBIE WASSERMAN SCHULTZ,Democrat,I,CARLA SPALDING,Republican,C,16.4,1992619.2,931190.64,-11.0,-3.1
FL_24_2010,FL_24,2010,245031,"SANDRA ""SANDY"" ADAMS",Republican,C,SUZANNE M KOSMAS,Democrat,I,19.32,1266664.42,2561831.1,4.0,6.8
FL_24_2014,FL_24,2014,149918,FREDERICA S WILSON,Democrat,I,DUFIRSTON JULIO NEREE,Republican,C,76.01,234359.29,12040.0,-33.0,5.7
FL_24_2020,FL_24,2020,289638,FREDERICA S WILSON,Democrat,I,LAVERN SPICER,Republican,C,55.15,321018.89,39561.16,-34.0,-3.1
FL_25_2010,FL_25,2010,143553,DAVID RIVERA,Republican,O,JOE GARCIA,Democrat,O,9.56,1884653.91,1654071.08,5.0,6.8
FL_25_2012,FL_25,2012,200229,MARIO DIAZ-BALART,Republican,I,STANLEY BLUMENTHAL,Other,C,59.83,769587.43,194697.45,8.0,-1.1
FL_25_2016,FL_25,2016,253240,MARIO DIAZ-BALART,Republican,I,ALINA VALDES,Democrat,C,24.72,1529748.66,37577.3,10.0,1.1
FL_25_2018,FL_25,2018,212845,MARIO DIAZ-BALART,Republican,I,MARY BARZEE FLORES,Democrat,C,20.91,2639188.44,2192832.69,4.0,-8.6
FL_26_2012,FL_26,2012,252957,JOE GARCIA,Democrat,I,DAVID RIVERA,Republican,C,10.62,1162567.84,616312.36,3.0,-1.1
FL_26_2014,FL_26,2014,161337,CARLOS CURBELO,Republican,I,JOE GARCIA,Democrat,C,2.93,2357633.17,3787929.88,4.0,5.7
FL_26_2016,FL_26,2016,280542,CARLOS CURBELO,Republican,I,JOE GARCIA,Democrat,C,11.78,3852722.34,1401133.03,0.0,1.1
FL_26_2018,FL_26,2018,235475,DEBBIE MUCARSEL-POWELL,Democrat,C,CARLOS CURBELO,Republican,I,1.75,4615604.83,5132355.79,-6.0,-8.6
FL_26_2020,FL_26,2020,342630,CARLOS GIMENEZ,Republican,C,DEBBIE MUCARSEL-POWELL,Democrat,I,3.45,2206564.28,6916171.47,-6.0,-3.1
FL_27_2012,FL_27,2012,230171,ILEANA ROS-LEHTINEN,Republican,I,MANNY YEVANCEY,Democrat,,23.23,1190873.38,,5.0,-1.1
FL_27_2016,FL_27,2016,287677,ILEANA ROS-LEHTINEN,Republican,I,SCOTT FUHRMAN,Democrat,C,9.79,3436514.81,888454.46,1.0,1.1
FL_27_2018,FL_27,2018,252586,DONNA SHALALA,Democrat,O,MARIA ELVIRA SALAZAR,Republican,O,6.0,4414481.03,2056401.32,-5.0,-8.6
FL_27_2020,FL_27,2020,342975,MARIA ELVIRA SALAZAR,Republican,C,DONNA E SHALALA,Democrat,I,2.74,3682371.15,3815880.66,-5.0,-3.1
FL_2_2010,FL_2,2010,254438,STEVE SOUTHERLAND,Republican,C,ALLEN BOYD,Democrat,I,12.25,1290928.8,3814063.8,6.0,6.8
FL_2_2012,FL_2,2012,333718,STEVE SOUTHERLAND II,Republican,I,AL LAWSON,Democrat,C,5.46,1722317.48,759725.03,3.0,-1.1
FL_2_2014,FL_2,2014,249780,GWEN GRAHAM,Democrat,C,STEVE SOUTHERLAND II,Republican,I,1.13,3663382.5,2971841.01,6.0,5.7
FL_2_2016,FL_2,2016,343362,NEAL DUNN,Republican,,WALTER DARTLAND,Democrat,O,37.38,,136763.01,18.0,1.1
FL_2_2018,FL_2,2018,295568,NEAL DUNN,Republican,I,BOB RACKLEFF,Democrat,C,34.88,,257237.58,18.0,-8.6
FL_2_2020,FL_2,2020,311999,NEAL P DUNN,Republican,I,KIM O'CONNOR,Other,,95.73,656912.88,,18.0,-3.1
FL_3_2010,FL_3,2010,150301,CORRINE BROWN,Democrat,I,"MICAHEL ""MIKE"" YOST",Republican,C,29.15,1003553.25,153550.04,-18.0,6.8
FL_3_2012,FL_3,2012,315669,TED YOHO,Republican,,J R GAILLOT,Democrat,O,32.27,,14053.26,12.0,-1.1
FL_3_2014,FL_3,2014,228809,TED S YOHO,Republican,I,MARIHELEN WHEELER,Democrat,C,32.68,791906.7,80417.92,12.0,5.7
