year,state,state_po,district,runoff,special,candidate,party,candidatevotes,totalvotes
2022,COLORADO,CO,2,False,False,TIM WOLF,UNITY PARTY OF COLORADO,1968,348839
2022,COLORADO,CO,3,False,False,LAUREN BOEBERT,REPUBLICAN,163839,327285
2022,COLORADO,CO,3,False,False,ADAM FRISCH,DEMOCRAT,163293,327285
2022,COLORADO,CO,3,False,False,MARINA ZIMMERMAN,UNAFFILIATED,74,327285
2022,COLORADO,CO,3,False,False,KRISTIN SKOWRONSKI,UNAFFILIATED,71,327285
2022,COLORADO,CO,3,False,False,RICHARD “TURTLE” TETU,UNAFFILIATED,8,327285
2022,COLORADO,CO,4,False,False,KEN BUCK,REPUBLICAN,216024,354513
2022,COLORADO,CO,4,False,False,IKE MCCORKLE,DEMOCRAT,129619,354513
2022,COLORADO,CO,4,False,False,RYAN MCGONIGAL,AMERICAN CONSTITUTION PARTY,8870,354513
2022,COLORADO,CO,5,False,False,DOUG LAMBORN,REPUBLICAN,155528,277964
2022,COLORADO,CO,5,False,False,DAVID TORRES,DEMOCRAT,111978,277964
2022,COLORADO,CO,5,False,False,BRIAN FLANAGAN,LIBERTARIAN,7079,277964
2022,COLORADO,CO,5,False,False,CHRISTOPHER MITCHELL,AMERICAN CONSTITUTION PARTY,3370,277964
2022,COLORADO,CO,6,False,False,STEVEN MONAHAN,REPUBLICAN,105084,280755
2022,COLORADO,CO,6,False,False,JASON CROW,DEMOCRAT,170140,280755
2022,COLORADO,CO,6,False,False,ERIC C MULDER,LIBERTARIAN,5531,280755
2022,COLORADO,CO,7,False,False,ERIK AADLAND,REPUBLICAN,150510,363601
2022,COLORADO,CO,7,False,False,BRITTANY PETTERSEN,DEMOCRAT,204984,363601
2022,COLORADO,CO,7,False,False,ROSS KLOPF,LIBERTARIAN,6187,363601
2022,COLORADO,CO,7,False,False,CRITTER MILTON,UNITY PARTY OF COLORADO,1828,363601
2022,COLORADO,CO,8,False,False,BARBARA KIRKMEYER,REPUBLICAN,112745,236501
2022,COLORADO,CO,8,False,False,YADIRA CARAVEO,DEMOCRAT,114377,236501
2022,COLORADO,CO,8,False,False,RICHARD WARD,LIBERTARIAN,9280,236501
2022,FLORIDA,FL,1,False,False,MATT GAETZ,REPUBLICAN,197349,290816
2022,FLORIDA,FL,1,False,False,REBEKAH JONES,DEMOCRAT,93467,290816
2022,FLORIDA,FL,2,False,False,NEAL P DUNN,REPUBLICAN,180236,301389
