race_id,district_id,year,total_votes,winner_name,winner_party,winner_CAND_ICI,runner_up_name,runner_up_party,runner_up_CAND_ICI,margin_of_victory,spending_winner,spending_runner_up,pvi,NHE,spending_ratio,adjusted_margin
NY_1_2020,NY_1,2020,389014,LEE M ZELDIN,Republican,I,NANCY S GOROFF,Democrat,C,9.36,8282563.49,7936371.58,5.0,-3.1,1.0436209301077106,7.46
NY_22_2016,NY_22,2016,296086,CLAUDIA TENNEY,Republican,O,KIM A MYERS,Democrat,O,5.13,889095.44,1660309.43,3.0,1.1,0.5354998435442242,1.03
NY_22_2018,NY_22,2018,251212,ANTHONY J BRINDISI,Democrat,C,CLAUDIA TENNEY,Republican,I,1.78,4637060.53,3338189.5,6.0,-8.6,1.3890944567406973,-0.82
NY_22_2020,NY_22,2020,326568,CLAUDIA TENNEY,Republican,C,ANTHONY J BRINDISI,Democrat,I,0.03,2800346.36,5901341.91,6.0,-3.1,0.4745270487132307,-2.87
NY_25_2012,NY_25,2012,322760,LOUISE MCINTOSH SLAUGHTER,Democrat,I,MAGGIE BROOKS,Republican,C,14.38,2469256.67,1447863.89,-5.0,-1.1,1.7054480652874078,8.28
NY_25_2014,NY_25,2014,196516,LOUISE MCINTOSH SLAUGHTER,Democrat,I,MARK W ASSINI,Republican,C,0.44,796859.44,193193.41,-7.0,5.7,4.124671954390163,-0.86
NY_25_2016,NY_25,2016,336386,LOUISE MCINTOSH SLAUGHTER,Democrat,I,MARK W ASSINI,Republican,C,11.98,1614652.78,221477.29,-7.0,1.1,7.290376272890101,6.08
NY_25_2018,NY_25,2018,270120,JOSEPH D MORELLE,Democrat,I,JIM MAXWELL,Republican,C,17.96,1837132.63,992387.55,-8.0,-8.6,1.8512249876572915,1.36
NY_25_2020,NY_25,2020,367377,JOSEPH D MORELLE,Democrat,I,GEORGE MITRIS,Republican,C,19.11,1317024.89,279047.05,-8.0,-3.1,4.719723394316478,8.01
NY_27_2012,NY_27,2012,329768,CHRIS COLLINS,Republican,C,KATHLEEN C HOCHUL,Democrat,I,1.52,1420829.91,4858495.76,7.0,-1.1,0.29244234845231193,-4.38
NY_27_2018,NY_27,2018,285300,CHRIS COLLINS,Republican,I,NATHAN D MCMURRAY,Democrat,C,0.38,1816058.98,1364110.33,11.0,-8.6,1.3313138534769398,-2.02
NY_3_2016,NY_3,2016,350966,THOMAS R SUOZZI,Democrat,O,JACK M MARTINS,Republican,O,5.55,2347147.78,1148691.2,0.0,1.1,2.043323549444794,6.65
NY_3_2018,NY_3,2018,267062,THOMAS R SUOZZI,Democrat,I,DAN P DEBONO,Republican,C,17.95,1483584.61,454227.34,-1.0,-8.6,3.2661719789918413,8.35
NY_3_2020,NY_3,2020,398887,THOMAS R SUOZZI,Democrat,I,GEORGE AD SANTOS,Republican,C,11.69,2350850.41,638536.54,-1.0,-3.1,3.6816223704284803,7.59
NY_4_2014,NY_4,2014,175305,KATHLEEN M RICE,Democrat,O,BRUCE A BLAKEMAN,Republican,O,5.51,3487899.91,1683954.77,-3.0,5.7,2.0712551026533808,8.21
NY_4_2020,NY_4,2020,385015,KATHLEEN M RICE,Democrat,I,DOUGLAS L TUMAN,Republican,C,12.14,1228432.21,132223.76,-4.0,-3.1,9.290555721604044,5.04
