candidate
CHRISTINA BOHANNAN
UNDERVOTES
OVERVOTES
ASHLEY HINSON
LIZ MATHIS
UNDERVOTES
OVERVOTES
ZACH NUNN
CYNTHIA AXNE
UNDERVOTES
OVERVOTES
RANDY FEENSTRA
RYAN MELTON
BRYAN JACK HOLDER
UNDERVOTES
OVERVOTES
TRACEY MANN
JAMES “JIMMY” BEARD
JAKE LATURNER
PATRICK SCHMIDT
AMANDA L ADKINS
SHARICE DAVIDS
STEPHEN A HOHE
RON ESTES
BOB HERNANDEZ
JAMES COMER
JIMMY C AUSBROOKS
BRETT GUTHRIE
HANK LINDERMAN
STUART N RAY
MORGAN MCGARVEY
THOMAS MASSIE
MATTHEW LEHMAN
ETHAN KEITH OSBORNE
HAROLD ROGERS
CONOR HALBLEIB
ANDY BARR
GEOFFREY M “GEOFF” YOUNG
STEVE SCALISE
KATIE DARLING
HOWARD KEARNEY
“DAN” LUX
TROY A CARTER
CLAY HIGGINS
HOLDEN HOGGATT
"THOMAS “LANE” PAYNE, JR"
JACOB “JAKE” SHAHEEN
LESSIE OLIVIA LEBLANC
TIA LEBRUN
GLORIA R WIGGINS
GUY MCLENDON
MIKE JOHNSON
JULIA LETLOW
ALLEN GUILLORY
HUNTER PULLEN
OSCAR “OMAR” DANTZLER
WALTER EARL HUFF
GARRET GRAVES
BRIAN BELZER
"RUFUS HOLT CRAIG, JR"
EDWIN THELANDER
CHELLIE PINGREE
BLANK
OTHERS
BRUCE POLIQUIN
JARED F GOLDEN
TIFFANY BOND
EXHAUSTED BALLOT
TRENT KELLY
DIANNE BLACK
BRIAN FLOWERS
BENNIE G THOMPSON
MICHAEL GUEST
SHUWASKI A YOUNG
MIKE EZELL
JOHNNY L DUPREE
ALDEN PATRICK JOHNSON
ANDREW JONES
CORI BUSH
GEORGE A ZSIDISIN
ANN WAGNER
TRISH GUNBY
BILL SLANTZ
BLAINE LUETKEMEYER
BETHANY MANN
MARK ALFORD
JACK TRUMAN
RANDY LANGKRAEHR
JACOB TURK
EMANUEL CLEAVER
ROBIN DOMINICK
SAM GRAVES
HENRY MARTIN
EDWARD A “ANDY” MAIDMENT
ERIC BURLISON
KRISTEN RADAKER-SHEAFER
KEVIN CRAIG
JASON SMITH
RANDI MCCALLIAN
JIM HIGGINS
RYAN K ZINKE
MONICA TRANEL
JOHN LAMB
"MATTHEW M ROSENDALE, SR"
PENNY RONNING
GARY BUCHANAN
SAM RANKIN
MIKE FLOOD
PATTY PANSING BROOKS
DON BACON
TONY VARGAS
ADRIAN SMITH
DAVID J ELSE
"MARK ELWORTH, JR"
MARK ROBERTSON
DINA TITUS
KEN CAVANAUGH
MARK E AMODEI
ELIZABETH MERCEDES KRAUSE
RUSSELL BEST
DARRYL BABER
APRIL BECKER
SUSIE LEE
SAM PETERS
STEVEN HORSFORD
KAROLINE LEAVITT
CHRIS PAPPAS
SCATTER
ROBERT BURNS
ANN M KUSTER
SCATTER
MICHELLE GARCIA HOLMES
MELANIE A STANSBURY
YVETTE HERRELL
GABRIEL VASQUEZ
ALEXIS MARTINEZ JOHNSON
TERESA LEGER FERNANDEZ
STEVE CHABOT
GREG LANDSMAN
BRAD R WENSTRUP
SAMANTHA MEADOWS
LEE R STAHLEY
JOYCE BEATTY
JIM JORDAN
TAMIE WILSON
ROBERT E LATTA
CRAIG SWARTZ
BILL JOHNSON
LOUIS G LYRAS
MAX MILLER
MATTHEW DIEMER
WARREN DAVIDSON
VANESSA ENOCH
J R MAJEWSKI
MARCY KAPTUR
MICHAEL R TURNER
DAVID ESRATI
ERIC J BREWER
SHONTEL M BROWN
TROY BALDERSON
AMY RIPPEL-ELTON
MADISON GESIOTTO GILBERT
EMILIA SYKES
DAVID P JOYCE
MATT KILBOY
MIKE CAREY
GARY JOSEPHSON
KEVIN HERN
ADAM MARTIN
EVELYN L ROGERS
JOSH BRECHEEN
NAOMI ANDREWS
BULLDOG BEN ROBINSON
FRANK D LUCAS
JEREMIAH A ROSS
TOM COLE
MARY BRANNON
STEPHANIE I BICE
JOSHUA HARRIS-TILL
DAVID K FROSCH
CHRISTOPHER A MANN
SUZANNE BONAMICI
MISCELLANEOUS
CLIFF BENTZ
JOE YETTER
MISCELLANEOUS
JOANNA HARBOUR
EARL BLUMENAUER
DAVID E DELK
MISCELLANEOUS
ALEK SKARLATOS
VAL HOYLE
LEVI LEATHERBERRY
JIM HOWARD
MIKE BEILSTEIN
MISCELLANEOUS
LORI CHAVEZ-DEREMER
JAMIE MCLEOD-SKINNER
MISCELLANEOUS
MIKE ERICKSON
ANDREA SALINAS
